GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
25021,2025-26,Serie A,JAIME ECHENIQUE,UNA HOTELS REGGIO EMILIA,"2025-10-05, REM vs UDI",18,15,6,10,0,0,3,5,2,3,5,1,0,2,0,4
25021,2025-26,Serie A,MICHELE VITALI,UNA HOTELS REGGIO EMILIA,"2025-10-05, REM vs UDI",20,2,1,1,0,2,0,0,5,2,7,1,0,0,0,1
25021,2025-26,Serie A,KWAN CHEATHAM,UNA HOTELS REGGIO EMILIA,"2025-10-05, REM vs UDI",29,13,2,3,3,8,0,0,4,1,5,3,1,0,0,3
25021,2025-26,Serie A,MIRZA ALIBEGOVIC,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",25,9,0,0,3,6,0,0,4,0,4,3,0,2,0,1
25021,2025-26,Serie A,SKYLAR SPENCER,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",23,4,2,3,0,0,0,0,1,3,4,1,0,0,1,1
25021,2025-26,Serie A,ANTHONY HICKEY,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25021,2025-26,Serie A,ALESSANDRO PAVAN,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25021,2025-26,Serie A,CHRISTIAN MEKOWULU,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",16,6,2,3,0,0,2,2,4,0,4,1,0,2,0,2
25021,2025-26,Serie A,MATTEO DA ROS,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",21,3,0,1,1,2,0,0,6,2,8,1,0,1,1,1
25021,2025-26,Serie A,EIMANTAS BENDZIUS,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",19,9,1,4,0,3,7,7,2,2,4,2,0,3,0,2
25021,2025-26,Serie A,DJ BREWTON,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",33,17,7,11,0,3,3,6,7,0,7,3,2,0,1,2
25021,2025-26,Serie A,AUBREY DAWKINS,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",20,9,0,1,3,10,0,0,2,1,3,1,1,1,0,1
25021,2025-26,Serie A,ANDREA CALZAVARA,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",30,9,2,4,1,5,2,4,1,0,1,3,0,1,0,5
25021,2025-26,Serie A,FRANCESCO MIZERNIUK,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25021,2025-26,Serie A,IRIS IKANGI,APU OLD WILD WEST UDINE,"2025-10-05, REM vs UDI",13,5,1,2,1,3,0,0,2,1,3,0,0,0,0,3
25018,2025-26,Serie A,JOE RAGLAND,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",38,21,7,12,2,5,1,1,3,1,4,5,4,4,0,2
25018,2025-26,Serie A,MUHAMMAD-ALI ABDUR-RAHKMAN,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",27,13,6,10,0,7,1,3,1,2,3,0,2,0,0,1
25018,2025-26,Serie A,MATTEO GUERRINI,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25018,2025-26,Serie A,DAVID TORRESANI,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",26,12,1,2,2,6,4,4,1,4,5,6,0,1,1,4
25018,2025-26,Serie A,FEDERICO MIASCHI,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",16,3,0,1,1,4,0,0,1,0,1,0,1,1,1,2
25018,2025-26,Serie A,KRUIZE PINKINS,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",36,17,4,7,1,2,6,6,3,5,8,1,1,0,0,3
25018,2025-26,Serie A,MATTEO BEDIN,NUTRIBULLET TREVISO BASKET,"2025-10-05, TVB vs BRE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
