GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,CODE,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTM,FTA,DREB,OREB,REB,AST,STL,TOV,BLK,PF
2,2025-26,Eurocup,ISMET AKPINAR,BAH,BAH,"2025-10-01, CLU vs BAH",19,13,0,1,3,5,4,4,0,1,1,1,1,0,0,2
2,2025-26,Eurocup,TREVION WILLIAMS,BAH,BAH,"2025-10-01, CLU vs BAH",23,9,2,2,0,0,5,8,2,2,4,3,3,4,0,4
2,2025-26,Eurocup,KENAN SIPAHI,BAH,BAH,"2025-10-01, CLU vs BAH",22,11,0,2,3,5,2,2,2,1,3,6,0,2,0,2
2,2025-26,Eurocup,GOKTUG BAS,BAH,BAH,"2025-10-01, CLU vs BAH",13,6,3,4,0,0,0,0,0,5,5,0,1,1,0,2
2,2025-26,Eurocup,HUNTER HALE,BAH,BAH,"2025-10-01, CLU vs BAH",22,16,2,6,3,6,3,5,1,0,1,5,2,4,0,2
3,2025-26,Eurocup,AMEDEO TESSITORI,VNC,VNC,"2025-09-30, VNC vs ARI",12,4,0,3,0,1,4,6,3,2,5,1,0,0,0,2
3,2025-26,Eurocup,RJ COLE,VNC,VNC,"2025-09-30, VNC vs ARI",28,8,2,5,1,6,1,2,2,0,2,1,1,0,0,2
3,2025-26,Eurocup,CHRIS HORTON,VNC,VNC,"2025-09-30, VNC vs ARI",28,13,4,6,0,0,5,6,4,3,7,1,2,2,0,2
3,2025-26,Eurocup,ALESSANDRO LEVER,VNC,VNC,"2025-09-30, VNC vs ARI",3,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0
3,2025-26,Eurocup,GIOVANNI DE NICOLAO,VNC,VNC,"2025-09-30, VNC vs ARI",4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
3,2025-26,Eurocup,LEONARDO CANDI,VNC,VNC,"2025-09-30, VNC vs ARI",14,7,2,3,1,1,0,1,1,0,1,1,0,1,0,1
3,2025-26,Eurocup,KY BOWMAN,VNC,VNC,"2025-09-30, VNC vs ARI",22,14,4,8,1,7,3,5,2,1,3,2,2,0,0,3
3,2025-26,Eurocup,CARL WHEATLE,VNC,VNC,"2025-09-30, VNC vs ARI",19,4,0,0,1,1,1,2,1,0,1,1,0,0,1,1
3,2025-26,Eurocup,STEFAN NIKOLIC,VNC,VNC,"2025-09-30, VNC vs ARI",9,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
3,2025-26,Eurocup,JORDAN PARKS,VNC,VNC,"2025-09-30, VNC vs ARI",19,9,3,4,1,1,0,0,1,1,2,1,3,1,0,5
3,2025-26,Eurocup,KYLE WILTJER,VNC,VNC,"2025-09-30, VNC vs ARI",24,12,3,6,2,6,0,1,2,0,2,5,1,1,0,0
