GAME_ID,SEASON,LEAGUE,PLAYER,TEAM,MATCHUP,MIN,PTS,2PM,2PA,3PM,3PA,FTA,FTM,DREB,OREB,REB,AST,STL,BLK,TOV,PF
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,BORIS DALLO,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,LUCAS BOUCAUD,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",12,3,0,0,1,1,0,0,0,0,0,1,1,0,1,3
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,NEFTALI DIFUIDI,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",12,2,1,2,0,2,0,0,0,0,0,0,2,0,0,1
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,NICK JOHNSON,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",28,15,4,4,2,7,2,1,2,0,2,3,2,1,2,4
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,LIAM O'REILLY,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",17,2,1,3,0,4,0,0,0,0,0,3,0,0,0,3
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,GIOVAN ONIANGUE,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",26,16,3,3,2,7,5,4,2,0,2,1,0,0,2,3
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,EDDIE EKIYOR,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",29,7,2,5,0,1,6,3,2,1,3,3,0,1,1,4
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,JORDAN CAROLINE,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",34,17,2,4,3,4,4,4,3,2,5,2,3,0,3,2
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,LOIC SCHWARTZ,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",25,12,0,2,4,8,0,0,0,0,0,3,1,1,1,3
0b769052-6715-11f0-928e-27e6e78614e1,2025-26,Pro A,CLIFTON MOORE,SAINT-QUENTIN,"2025-09-27, BLZ vs STQ",11,2,1,2,0,0,0,0,3,0,3,0,0,0,1,3
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,DAYLEN KOUNTZ,CHOLET,"2025-09-27, CHO vs STR",12,6,2,5,0,1,2,2,2,0,2,0,0,0,0,2
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,AARON TOWO-NANSI,CHOLET,"2025-09-27, CHO vs STR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,T.J. CAMPBELL,CHOLET,"2025-09-27, CHO vs STR",25,10,3,5,1,3,3,1,1,1,2,5,2,0,1,0
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,NATHAN DE SOUSA,CHOLET,"2025-09-27, CHO vs STR",19,18,5,8,2,2,4,2,2,0,2,3,0,0,2,3
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,DIGUE DIAWARA,CHOLET,"2025-09-27, CHO vs STR",16,10,3,4,0,1,4,4,1,1,2,1,1,0,1,4
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,JAMUNI MCNEACE,CHOLET,"2025-09-27, CHO vs STR",21,7,3,10,0,0,2,1,6,4,10,1,1,1,0,2
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,QUDUS WAHAB,CHOLET,"2025-09-27, CHO vs STR",19,8,3,3,0,0,2,2,2,5,7,0,0,0,3,3
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,CHIBUZO AGBO,CHOLET,"2025-09-27, CHO vs STR",21,9,1,1,2,5,4,1,3,1,4,0,0,0,0,2
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,MOHAMED DIARRA,CHOLET,"2025-09-27, CHO vs STR",21,14,1,2,3,5,4,3,2,1,3,1,1,2,2,0
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,KESHAWN JUSTICE,CHOLET,"2025-09-27, CHO vs STR",19,3,0,1,1,5,0,0,3,1,4,0,0,0,0,3
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,GERALD AYAYI,CHOLET,"2025-09-27, CHO vs STR",26,7,3,6,0,1,1,1,5,0,5,7,4,0,5,1
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,FOUSSEYNI TRAORE,STRASBOURG,"2025-09-27, CHO vs STR",8,2,1,3,0,0,0,0,1,1,2,0,1,0,1,1
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,MIKE DAVIS JR,STRASBOURG,"2025-09-27, CHO vs STR",19,9,2,3,0,3,7,5,2,0,2,0,1,0,3,4
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,GABE BROWN,STRASBOURG,"2025-09-27, CHO vs STR",32,14,5,6,1,6,2,1,1,1,2,0,0,0,2,3
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,BEN GREGG,STRASBOURG,"2025-09-27, CHO vs STR",16,6,3,5,0,3,0,0,0,2,2,0,0,0,3,1
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,NELLY JOSEPH,STRASBOURG,"2025-09-27, CHO vs STR",28,10,4,7,0,0,2,2,6,1,7,0,0,1,2,2
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,MARCUS KEENE,STRASBOURG,"2025-09-27, CHO vs STR",31,17,2,4,2,10,10,7,5,2,7,11,1,0,2,4
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,JEAN-BAPTISTE MAILLE,STRASBOURG,"2025-09-27, CHO vs STR",12,2,0,0,0,0,2,2,0,0,0,2,1,0,0,1
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,ABDOULAYE NDOYE,STRASBOURG,"2025-09-27, CHO vs STR",23,10,3,7,0,1,5,4,1,0,1,1,1,1,2,0
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,WILLIAM PFISTER,STRASBOURG,"2025-09-27, CHO vs STR",30,4,1,3,0,0,2,2,6,3,9,1,1,1,0,4
0b1c7734-6715-11f0-a8c8-27e6e78614e1,2025-26,Pro A,JAHEL TREFLE,STRASBOURG,"2025-09-27, CHO vs STR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,LEON STERGAR,LIMOGES,"2025-09-27, LIM vs BOU",12,2,0,1,0,2,2,2,0,0,0,0,0,0,3,2
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,ARMAAN FRANKLIN,LIMOGES,"2025-09-27, LIM vs BOU",27,21,3,6,4,6,3,3,2,0,2,1,2,1,1,0
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,MAMADOU GUISSE,LIMOGES,"2025-09-27, LIM vs BOU",23,8,3,4,0,1,2,2,1,2,3,2,0,0,1,3
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,NIKOLA JOVANOVIC,LIMOGES,"2025-09-27, LIM vs BOU",9,6,1,2,0,0,4,4,0,2,2,1,0,0,1,1
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,HUGO INVERNIZZI,LIMOGES,"2025-09-27, LIM vs BOU",30,14,1,2,4,4,0,0,5,2,7,7,2,0,1,4
0b309ffa-6715-11f0-b705-27e6e78614e1,2025-26,Pro A,NICOLAS LANG,LIMOGES,"2025-09-27, LIM vs BOU",17,5,0,1,1,1,2,2,1,0,1,1,1,0,0,5
